category,name,url,remote_testing,adaptive_irt,test_type,page_number,source
Pre-packaged Job Solutions,Insurance Sales Manager Solution,https://www.shl.com/products/product-catalog/view/insurance-sales-manager-solution/,,,"A
B
P
S",6,SHL Catalog
Pre-packaged Job Solutions,Manager - Short Form,https://www.shl.com/products/product-catalog/view/manager-short-form/,,,"A
B
K
P
S",6,SHL Catalog
Pre-packaged Job Solutions,Manager + 7.0 Solution,https://www.shl.com/products/product-catalog/view/manager-7-0-solution-3955/,,,"A
B
C",6,SHL Catalog
Pre-packaged Job Solutions,Manager + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-solution-4242/,,,"B
C
P",7,SHL Catalog
Pre-packaged Job Solutions,Manager + 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-%28international%29/,,,"B
C
P",7,SHL Catalog
Pre-packaged Job Solutions,Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/manager-7-0-solution/,,,"B
C",7,SHL Catalog
Pre-packaged Job Solutions,Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-%28americas%29/,,,"B
C
P",7,SHL Catalog
Pre-packaged Job Solutions,Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-solution/,,,"B
C
P",7,SHL Catalog
Pre-packaged Job Solutions,Manager 8.0 JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa/,,,"B
K
P",7,SHL Catalog
Pre-packaged Job Solutions,Manager 8.0+ JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310/,,,"B
K
P",7,SHL Catalog
Pre-packaged Job Solutions,Manufacturing Production Team Member,https://www.shl.com/products/product-catalog/view/manufacturing-production-team-member/,,,"A
B",7,SHL Catalog
Pre-packaged Job Solutions,Manufacturing Skilled Maintenance Worker,https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,,,"A
B",7,SHL Catalog
